,Year,AQI,Score
31,1976,25.684589331075358,1.2263288171361173
32,1977,30.662692307692307,1.967749894204353
33,1978,31.88146470366176,0.6955160147076761
34,1979,30.208265802269043,2.029534613357407
35,1980,33.05167820990943,1.6027827883972325
36,1981,23.94665109034268,2.4477485621175474
37,1982,26.93011851246424,1.3948853499559155
38,1983,27.655958162121777,2.442225504900141
39,1984,27.204707860445566,2.457773305546363
0,1985,26.959016393442624,4.068127621738665
1,1986,23.50657894736842,2.636716796143294
2,1987,20.30128205128205,2.9070448875004686
3,1988,24.245098039215687,7.580542928362021
4,1989,23.75,5.693242367925225
5,1990,18.59259259259259,3.464788472008232
6,1991,18.91176470588235,3.345375037095204
7,1995,19.733333333333334,2.861071983769522
8,1996,22.982758620689655,7.11472405287311
9,1999,34.80555555555556,4.665092694795789
10,2000,31.321428571428573,6.367300318681442
11,2001,29.64485981308411,3.1949085404864204
12,2002,32.24390243902439,5.653131031860634
13,2003,31.747967479674795,4.296531641229781
14,2004,31.728,2.896468103883082
15,2005,32.3191637630662,5.041173310130859
16,2006,32.096311475409834,8.208380307259178
17,2007,34.58765778401122,5.116690596883688
18,2008,34.61523988711195,16.998078113896756
19,2009,30.439591078066915,6.731057190825172
20,2010,30.275291828793776,2.862790809724711
21,2011,38.96448863636363,
22,2012,35.26111111111111,5.501804264046605
23,2013,31.559888579387188,3.0809827626083606
24,2014,33.42520775623269,4.295039742470821
25,2015,30.50343878954608,3.6635779399723716
26,2016,28.04632587859425,4.6747491374567005
27,2017,27.271428571428572,6.361451111109272
28,2018,32.92943361188487,5.565525596406687
29,2019,31.3135593220339,2.029475290191552
30,2020,29.459537572254334,3.3620178592507153
