,Date,AQI,Sample_Duration,Pollutant_Type
0,1985-03-16,16,24 HOUR,81102
1,1985-03-18,13,24 HOUR,81102
2,1985-03-20,25,24 HOUR,81102
3,1985-03-22,22,24 HOUR,81102
4,1985-03-24,19,24 HOUR,81102
5,1985-03-26,17,24 HOUR,81102
6,1985-03-28,24,24 HOUR,81102
7,1985-03-30,18,24 HOUR,81102
8,1985-04-01,24,24 HOUR,81102
9,1985-04-05,50,24 HOUR,81102
10,1985-04-07,39,24 HOUR,81102
11,1985-04-09,23,24 HOUR,81102
12,1985-04-13,22,24 HOUR,81102
13,1985-04-17,32,24 HOUR,81102
14,1985-04-21,28,24 HOUR,81102
15,1985-04-25,38,24 HOUR,81102
16,1985-04-29,28,24 HOUR,81102
17,1985-05-03,44,24 HOUR,81102
18,1985-05-07,41,24 HOUR,81102
19,1985-05-11,54,24 HOUR,81102
20,1985-05-15,44,24 HOUR,81102
21,1985-05-17,18,24 HOUR,81102
22,1985-05-19,20,24 HOUR,81102
23,1985-05-21,23,24 HOUR,81102
24,1985-05-23,20,24 HOUR,81102
25,1985-05-25,22,24 HOUR,81102
26,1985-05-27,26,24 HOUR,81102
27,1985-05-31,30,24 HOUR,81102
28,1985-06-02,25,24 HOUR,81102
29,1985-06-04,35,24 HOUR,81102
30,1985-06-06,22,24 HOUR,81102
31,1985-06-08,30,24 HOUR,81102
32,1985-06-10,30,24 HOUR,81102
33,1985-06-12,20,24 HOUR,81102
34,1985-06-14,28,24 HOUR,81102
35,1985-06-16,24,24 HOUR,81102
36,1985-06-18,24,24 HOUR,81102
37,1985-06-20,20,24 HOUR,81102
38,1985-06-22,25,24 HOUR,81102
39,1985-06-24,30,24 HOUR,81102
40,1985-06-26,32,24 HOUR,81102
41,1985-06-28,22,24 HOUR,81102
42,1985-06-30,24,24 HOUR,81102
43,1985-07-02,48,24 HOUR,81102
44,1985-07-04,22,24 HOUR,81102
45,1985-07-08,23,24 HOUR,81102
46,1985-07-12,53,24 HOUR,81102
47,1985-07-14,37,24 HOUR,81102
48,1985-07-16,33,24 HOUR,81102
49,1985-07-18,38,24 HOUR,81102
50,1985-07-20,21,24 HOUR,81102
51,1985-07-22,26,24 HOUR,81102
52,1985-07-24,23,24 HOUR,81102
53,1985-07-26,30,24 HOUR,81102
54,1985-07-28,45,24 HOUR,81102
55,1985-07-30,30,24 HOUR,81102
56,1985-08-01,43,24 HOUR,81102
57,1985-08-03,30,24 HOUR,81102
58,1985-08-05,30,24 HOUR,81102
59,1985-08-07,32,24 HOUR,81102
60,1985-08-09,41,24 HOUR,81102
